epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1282.56,0.8739,0.68472,1.23676,0.75471,0.57272,0.66653,0.41568,1.83615,1.52496,2.34307,0.000742815,0.000742815,0.000742815
86,1298.58,0.88862,0.7352,1.23642,0.76463,0.59974,0.66406,0.43816,1.83263,1.721,2.2861,0.000731813,0.000731813,0.000731813
87,1314.65,0.87353,0.70608,1.23545,0.83423,0.58194,0.67386,0.41532,1.8296,1.53622,2.27653,0.000720811,0.000720811,0.000720811
88,1330.54,0.84994,0.65748,1.2096,0.89585,0.57913,0.70714,0.41528,1.86177,1.53018,2.3956,0.000709809,0.000709809,0.000709809
89,1346.02,0.84711,0.69581,1.21644,0.85151,0.55913,0.69482,0.45101,1.76237,1.47939,2.2198,0.000698806,0.000698806,0.000698806
90,1362.03,0.8195,0.64787,1.18809,0.84484,0.53913,0.68465,0.43556,1.72378,1.45561,2.17477,0.000687804,0.000687804,0.000687804
91,1378.4,0.8531,0.68519,1.23089,0.8506,0.56758,0.69585,0.41095,1.7941,1.45031,2.23913,0.000676802,0.000676802,0.000676802
92,1394.34,0.80603,0.62268,1.19939,0.80019,0.60261,0.68291,0.42227,1.82776,1.49322,2.25906,0.0006658,0.0006658,0.0006658
93,1410.09,0.82861,0.64898,1.20785,0.74092,0.62261,0.70155,0.42293,1.9381,1.56395,2.34631,0.000654798,0.000654798,0.000654798
94,1425.69,0.86286,0.67444,1.20402,0.83453,0.53812,0.70509,0.42366,1.87224,1.53145,2.34823,0.000643795,0.000643795,0.000643795
95,1441.67,0.78925,0.61462,1.16645,0.83604,0.55913,0.71453,0.40976,1.99365,1.60193,2.39215,0.000632793,0.000632793,0.000632793
96,1458.43,0.7902,0.6435,1.19198,0.82101,0.55913,0.69721,0.41556,1.88549,1.64579,2.34138,0.000621791,0.000621791,0.000621791
97,1474,0.84159,0.651,1.21415,0.8456,0.5725,0.67388,0.42222,1.85261,1.46079,2.295,0.000610789,0.000610789,0.000610789
98,1489.97,0.79511,0.64097,1.16607,0.86535,0.59913,0.70886,0.45302,1.82223,1.50415,2.23408,0.000599787,0.000599787,0.000599787
99,1506.12,0.77629,0.58103,1.17284,0.83087,0.59141,0.70122,0.446,1.7618,1.47281,2.17507,0.000588784,0.000588784,0.000588784
